fichier,ad_id,etat_declare,photo_origine,largeur,hauteur,fraction_cadre
3240189958.jpg,3240189958,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240189958/00.jpg,557,498,0.4776065267852973
3240141241.jpg,3240141241,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240141241/01.jpg,328,273,0.29658500321237036
3240379726.jpg,3240379726,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240379726/01.jpg,800,509,0.7177757735740311
3140415125.jpg,3140415125,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3140415125/01.jpg,692,545,0.3651654958862339
3240463517.jpg,3240463517,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240463517/02.jpg,777,338,0.471857373946179
3240356303.jpg,3240356303,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240356303/02.jpg,600,576,0.6846169007692253
3239481306.jpg,3239481306,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239481306/00.jpg,580,230,0.22017929611184633
3239940014.jpg,3239940014,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239940014/01.jpg,900,506,0.9751279164245714
3161744844.jpg,3161744844,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3161744844/01.jpg,600,800,0.9527203249857593
3239625234.jpg,3239625234,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239625234/00.jpg,600,800,0.9645276969671249
3240373417.jpg,3240373417,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240373417/01.jpg,711,533,0.9488912206988359
3239094551.jpg,3239094551,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3239094551/00.jpg,536,317,0.2915000490150213
3240477462.jpg,3240477462,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240477462/02.jpg,900,607,0.7961195819875772
3238004171.jpg,3238004171,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3238004171/00.jpg,450,303,0.32846779955093647
3240293444.jpg,3240293444,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240293444/00.jpg,750,469,0.6060285291471984
3240384631.jpg,3240384631,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240384631/13.jpg,600,800,0.9800081983366982
3240400673.jpg,3240400673,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240400673/00.jpg,900,374,0.5018580317501814
3240099823.jpg,3240099823,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240099823/00.jpg,491,310,0.26235098673117996
3240299286.jpg,3240299286,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240299286/00.jpg,600,612,0.6804390403962476
3240355412.jpg,3240355412,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240355412/00.jpg,603,627,0.7180519045721525
3240377771.jpg,3240377771,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240377771/02.jpg,600,636,0.7347163581848144
3231391658.jpg,3231391658,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3231391658/06.jpg,900,343,0.45828810528764324
3240481213.jpg,3240481213,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240481213/00.jpg,682,313,0.3673821810615642
3239817223.jpg,3239817223,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239817223/00.jpg,767,414,0.5597564760648058
3239753158.jpg,3239753158,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239753158/01.jpg,380,297,0.25857476499563004
3158858694.jpg,3158858694,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3158858694/00.jpg,900,454,0.41677995445896854
3240368655.jpg,3240368655,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240368655/02.jpg,900,675,0.9750226614060536
3240290361.jpg,3240290361,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240290361/00.jpg,780,382,0.6335290489675545
3240453706.jpg,3240453706,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240453706/02.jpg,444,358,0.3650154970408883
3240398648.jpg,3240398648,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240398648/02.jpg,600,565,0.6614995330047155
3239990334.jpg,3239990334,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239990334/01.jpg,599,416,0.4333210891491248
3240415385.jpg,3240415385,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240415385/01.jpg,574,221,0.21913145770282427
3240361675.jpg,3240361675,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240361675/01.jpg,900,735,0.9725782378544352
3203049596.jpg,3203049596,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3203049596/02.jpg,600,779,0.905061084564815
3240249408.jpg,3240249408,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240249408/01.jpg,595,363,0.3892691579373321
3239656676.jpg,3239656676,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239656676/02.jpg,600,800,0.9561080037120567
3240256313.jpg,3240256313,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240256313/02.jpg,600,767,0.9070972182758851
3240349072.jpg,3240349072,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240349072/02.jpg,600,740,0.8698727894171884
3240065215.jpg,3240065215,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240065215/01.jpg,369,512,0.4519453788934299
3240089585.jpg,3240089585,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240089585/01.jpg,75,76,0.010240373687374328
3240416830.jpg,3240416830,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240416830/01.jpg,666,263,0.40048402263465294
3239285713.jpg,3239285713,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239285713/00.jpg,585,350,0.35808864810898083
3239932037.jpg,3239932037,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239932037/02.jpg,600,750,0.861567096710205
3240427297.jpg,3240427297,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240427297/01.jpg,600,779,0.8948060131072998
3236660862.jpg,3236660862,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3236660862/00.jpg,900,383,0.42107895963396286
3240337829.jpg,3240337829,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240337829/00.jpg,450,355,0.3937172841745938
3231534252.jpg,3231534252,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3231534252/00.jpg,452,378,0.29447077825393064
3240152658.jpg,3240152658,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240152658/04.jpg,900,790,0.7607904952847213
3240422718.jpg,3240422718,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240422718/02.jpg,581,236,0.24139506942629912
3240438294.jpg,3240438294,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240438294/01.jpg,565,416,0.40496252911511693
3229474905.jpg,3229474905,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3229474905/07.jpg,800,600,0.9554489579682701
3240480253.jpg,3240480253,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240480253/01.jpg,560,422,0.41148871570803597
3239126680.jpg,3239126680,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239126680/01.jpg,800,422,0.6221565500904426
3240475513.jpg,3240475513,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240475513/01.jpg,472,310,0.2513170522825545
3239262168.jpg,3239262168,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239262168/00.jpg,683,360,0.5632991267599428
3240380412.jpg,3240380412,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240380412/00.jpg,567,376,0.3672117275008578
3240377958.jpg,3240377958,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240377958/01.jpg,525,483,0.4363787335723522
3239937252.jpg,3239937252,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239937252/02.jpg,764,600,0.8622488297655023
3240287466.jpg,3240287466,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240287466/01.jpg,760,440,0.323837407312221
3239983136.jpg,3239983136,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3239983136/01.jpg,754,517,0.5212491711436713
3202851552.jpg,3202851552,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3202851552/01.jpg,900,322,0.5236480052438676
3240205007.jpg,3240205007,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240205007/00.jpg,800,600,0.9553094525343225
3240435600.jpg,3240435600,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240435600/02.jpg,900,675,1.0
3239817979.jpg,3239817979,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239817979/02.jpg,900,604,0.9815634880997335
3236832293.jpg,3236832293,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3236832293/03.jpg,674,577,0.7327289506306229
3240437434.jpg,3240437434,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240437434/01.jpg,800,539,0.8406206639607747
3224331086.jpg,3224331086,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3224331086/02.jpg,900,677,0.9848584415208175
3239278812.jpg,3239278812,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239278812/00.jpg,437,412,0.4129581002741111
3240324808.jpg,3240324808,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240324808/01.jpg,600,666,0.77274299365011
3240405133.jpg,3240405133,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240405133/00.jpg,419,340,0.24550012543170088
3239613364.jpg,3239613364,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239613364/00.jpg,900,542,0.6359040261076039
3132355996.jpg,3132355996,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3132355996/01.jpg,881,635,0.541800212654684
3240430354.jpg,3240430354,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240430354/00.jpg,424,253,0.24643256922070578
3240409318.jpg,3240409318,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240409318/01.jpg,900,529,0.5355247393466755
3240474945.jpg,3240474945,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240474945/00.jpg,600,484,0.5253611227756192
3239622013.jpg,3239622013,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239622013/01.jpg,510,435,0.3815475413062086
3240369443.jpg,3240369443,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240369443/00.jpg,800,446,0.6469346354694748
3240347653.jpg,3240347653,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240347653/02.jpg,600,788,0.9151462477147688
3239889652.jpg,3239889652,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239889652/02.jpg,450,562,0.657621226130089
3135604482.jpg,3135604482,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3135604482/02.jpg,900,675,0.9323214579008401
3239890970.jpg,3239890970,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239890970/01.jpg,543,481,0.46956121447743787
3240468880.jpg,3240468880,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240468880/00.jpg,506,412,0.3544741385942884
3240482219.jpg,3240482219,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240482219/01.jpg,891,286,0.370488653945386
3227890896.jpg,3227890896,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3227890896/01.jpg,576,390,0.39624174042342153
3239754885.jpg,3239754885,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3239754885/00.jpg,900,596,0.7717828052906204
3169995091.jpg,3169995091,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3169995091/01.jpg,900,452,0.49282138046350243
3240471794.jpg,3240471794,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240471794/00.jpg,342,248,0.19390135783978943
3239966014.jpg,3239966014,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239966014/01.jpg,600,404,0.45155754388057784
3239206085.jpg,3239206085,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239206085/01.jpg,900,582,0.7716398544187137
3240347836.jpg,3240347836,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240347836/00.jpg,548,607,0.600594414691285
3240467853.jpg,3240467853,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240467853/01.jpg,347,259,0.15411003919505067
3240468632.jpg,3240468632,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240468632/00.jpg,550,302,0.2857657581706866
3240107023.jpg,3240107023,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240107023/02.jpg,640,594,0.6740327970082836
3240453408.jpg,3240453408,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240453408/02.jpg,600,800,0.9870171336314604
3240251243.jpg,3240251243,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240251243/02.jpg,800,800,0.96876285815335
3240364750.jpg,3240364750,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240364750/02.jpg,800,586,0.8841096020076127
3088125946.jpg,3088125946,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3088125946/00.jpg,791,319,0.4517336145551225
3240437685.jpg,3240437685,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240437685/00.jpg,900,457,0.6832214064034774
3240361069.jpg,3240361069,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240361069/00.jpg,521,501,0.4708558021077159
3240438272.jpg,3240438272,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240438272/00.jpg,900,529,0.6923216777497293
3240084564.jpg,3240084564,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240084564/00.jpg,427,371,0.2937092466084704
3240264848.jpg,3240264848,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240264848/01.jpg,900,568,0.632263442502124
3239920840.jpg,3239920840,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239920840/00.jpg,900,529,0.6449751913021127
3240382979.jpg,3240382979,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240382979/01.jpg,600,518,0.5524339767239544
3240413580.jpg,3240413580,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240413580/02.jpg,598,800,0.9365851420212227
2851665220.jpg,2851665220,undamaged,dl/data/leboncoin-private/raw/images/undamaged/2851665220/00.jpg,900,636,0.703578186656738
3240407864.jpg,3240407864,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240407864/02.jpg,424,593,0.56521953823924
3240370117.jpg,3240370117,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240370117/00.jpg,570,472,0.4639626127967009
3239863064.jpg,3239863064,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239863064/00.jpg,800,706,0.7820096686728166
3240347937.jpg,3240347937,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240347937/00.jpg,597,381,0.3918414009337197
3240471339.jpg,3240471339,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240471339/01.jpg,877,565,0.4802529407331511
3239297814.jpg,3239297814,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239297814/01.jpg,517,453,0.4028744856566739
3240438840.jpg,3240438840,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240438840/01.jpg,704,528,0.6403033140767613
3239306718.jpg,3239306718,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239306718/01.jpg,342,259,0.20284962899967665
3238493786.jpg,3238493786,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3238493786/00.jpg,900,587,0.8185211195698434
3240463923.jpg,3240463923,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240463923/00.jpg,505,370,0.3211512486857043
3239670308.jpg,3239670308,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239670308/02.jpg,600,672,0.787453326465303
3240374967.jpg,3240374967,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240374967/01.jpg,449,320,0.3332935082033916
3228772040.jpg,3228772040,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3228772040/01.jpg,524,439,0.3959054484345767
3236878904.jpg,3236878904,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3236878904/02.jpg,800,600,0.9942399088541667
3240457245.jpg,3240457245,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240457245/02.jpg,633,419,0.7536697555583103
3240160521.jpg,3240160521,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240160521/00.jpg,800,442,0.6264252659419749
3240217656.jpg,3240217656,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240217656/02.jpg,328,370,0.41416467228779125
3239750301.jpg,3239750301,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239750301/00.jpg,509,411,0.36027239535917566
3239658776.jpg,3239658776,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239658776/00.jpg,575,652,0.6769030668686726
3236231560.jpg,3236231560,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3236231560/01.jpg,370,286,0.3218622555707442
3239134914.jpg,3239134914,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239134914/01.jpg,445,389,0.297557819814479
3239326940.jpg,3239326940,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239326940/00.jpg,530,396,0.3636811247896519
3235139923.jpg,3235139923,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3235139923/08.jpg,900,704,0.8466625101773803
3239786022.jpg,3239786022,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239786022/02.jpg,354,253,0.19628534833279315
3228303221.jpg,3228303221,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3228303221/01.jpg,591,312,0.31713680646335707
3239275159.jpg,3239275159,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239275159/00.jpg,555,463,0.3153737304764638
3234853071.jpg,3234853071,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3234853071/00.jpg,469,366,0.3087688482371741
3240480643.jpg,3240480643,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240480643/00.jpg,362,251,0.2546014892233813
3239694348.jpg,3239694348,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239694348/02.jpg,370,223,0.24795966260430932
3240246955.jpg,3240246955,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240246955/02.jpg,900,675,0.9919562095507758
3240424077.jpg,3240424077,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240424077/00.jpg,566,342,0.33635882649307025
3240333745.jpg,3240333745,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240333745/01.jpg,833,603,0.5063941875305079
3239220911.jpg,3239220911,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239220911/02.jpg,900,413,0.9254953815044751
3239842084.jpg,3239842084,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239842084/02.jpg,900,620,0.7550464395817261
3240362769.jpg,3240362769,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240362769/02.jpg,450,534,0.6055296907900046
3239246143.jpg,3239246143,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239246143/02.jpg,419,239,0.21000387737829446
3240333124.jpg,3240333124,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240333124/02.jpg,900,659,0.8147912168877083
3239890458.jpg,3239890458,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239890458/00.jpg,393,261,0.17719193787779658
3240354335.jpg,3240354335,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240354335/00.jpg,471,394,0.3199627229801942
3240392268.jpg,3240392268,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240392268/00.jpg,556,493,0.4803113157456057
3240479928.jpg,3240479928,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240479928/01.jpg,600,588,0.6552570677451731
3224846595.jpg,3224846595,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3224846595/04.jpg,600,665,0.7928026580810547
3240469841.jpg,3240469841,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240469841/00.jpg,900,426,0.460225958103303
3239251753.jpg,3239251753,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239251753/00.jpg,836,560,0.45310826718336106
3239436214.jpg,3239436214,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239436214/02.jpg,574,655,0.6447943511903071
3240324350.jpg,3240324350,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240324350/02.jpg,900,675,0.9760226553937572
3239492840.jpg,3239492840,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239492840/00.jpg,600,533,0.5922631969901304
3240017553.jpg,3240017553,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240017553/01.jpg,556,714,0.7464714857694761
3239108247.jpg,3239108247,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239108247/00.jpg,900,390,0.5676862478735244
3240388147.jpg,3240388147,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240388147/02.jpg,720,600,0.8271682845177362
3240459311.jpg,3240459311,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240459311/01.jpg,544,337,0.31641798647374575
3240350661.jpg,3240350661,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240350661/01.jpg,453,327,0.25547091820175993
3221545275.jpg,3221545275,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3221545275/02.jpg,600,482,0.5598285622518524
3240444622.jpg,3240444622,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240444622/01.jpg,368,380,0.4229311581537782
3239119694.jpg,3239119694,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239119694/02.jpg,651,423,0.2664510823702226
3240478924.jpg,3240478924,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240478924/01.jpg,419,493,0.49466757906168657
2916140311.jpg,2916140311,undamaged,dl/data/leboncoin-private/raw/images/undamaged/2916140311/01.jpg,600,662,0.7498787100904001
3240449178.jpg,3240449178,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240449178/00.jpg,900,342,0.36556880731248587
3240380857.jpg,3240380857,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240380857/01.jpg,600,555,0.6465877557610672
3239440740.jpg,3239440740,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239440740/01.jpg,739,444,0.43532494402914024
3101776972.jpg,3101776972,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3101776972/00.jpg,451,409,0.31777466589852255
3165951461.jpg,3165951461,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3165951461/01.jpg,476,263,0.2148597009819772
